utc_ts,respondent,D,DF
2015-07-01 05:00:00+00:00,PJM,84024.0,29415.0
2015-07-01 06:00:00+00:00,PJM,79791.0,27687.0
2015-07-01 07:00:00+00:00,PJM,76760.0,26574.0
2015-07-01 08:00:00+00:00,PJM,74931.0,26029.0
2015-07-01 09:00:00+00:00,PJM,74368.0,26220.0
2015-07-01 10:00:00+00:00,PJM,77156.0,27581.0
2015-07-01 11:00:00+00:00,PJM,81032.0,30088.0
2015-07-01 12:00:00+00:00,PJM,86061.0,32819.0
2015-07-01 13:00:00+00:00,PJM,89560.0,34850.0
2015-07-01 14:00:00+00:00,PJM,93093.0,36752.0
2015-07-01 15:00:00+00:00,PJM,97580.0,38596.0
2015-07-01 16:00:00+00:00,PJM,101457.0,40206.0
2015-07-01 17:00:00+00:00,PJM,104918.0,41435.0
2015-07-01 18:00:00+00:00,PJM,108219.0,42723.0
2015-07-01 19:00:00+00:00,PJM,110428.0,43715.0
2015-07-01 20:00:00+00:00,PJM,112143.0,44514.0
2015-07-01 21:00:00+00:00,PJM,113224.0,45041.0
2015-07-01 22:00:00+00:00,PJM,112936.0,44892.0
2015-07-01 23:00:00+00:00,PJM,110545.0,43504.0
2015-07-02 00:00:00+00:00,PJM,106560.0,42144.0
2015-07-02 01:00:00+00:00,PJM,103392.0,41045.0
2015-07-02 02:00:00+00:00,PJM,101862.0,39964.0
2015-07-02 03:00:00+00:00,PJM,96385.0,36830.0
2015-07-02 04:00:00+00:00,PJM,89387.0,33373.0
2015-07-02 05:00:00+00:00,PJM,82916.0,29377.0
2015-07-02 06:00:00+00:00,PJM,78807.0,27567.0
2015-07-02 07:00:00+00:00,PJM,75981.0,26464.0
2015-07-02 08:00:00+00:00,PJM,74349.0,25850.0
2015-07-02 09:00:00+00:00,PJM,74516.0,25967.0
2015-07-02 10:00:00+00:00,PJM,76778.0,27141.0
2015-07-02 11:00:00+00:00,PJM,79549.0,29409.0
2015-07-02 12:00:00+00:00,PJM,83459.0,31806.0
2015-07-02 13:00:00+00:00,PJM,87532.0,33668.0
2015-07-02 14:00:00+00:00,PJM,90936.0,35266.0
2015-07-02 15:00:00+00:00,PJM,94310.0,36703.0
2015-07-02 16:00:00+00:00,PJM,96771.0,37850.0
2015-07-02 17:00:00+00:00,PJM,98424.0,38804.0
2015-07-02 18:00:00+00:00,PJM,99845.0,39769.0
2015-07-02 19:00:00+00:00,PJM,100168.0,40463.0
2015-07-02 20:00:00+00:00,PJM,100101.0,41031.0
2015-07-02 21:00:00+00:00,PJM,99948.0,41564.0
2015-07-02 22:00:00+00:00,PJM,99598.0,41525.0
2015-07-02 23:00:00+00:00,PJM,97607.0,40466.0
2015-07-03 00:00:00+00:00,PJM,94843.0,39306.0
2015-07-03 01:00:00+00:00,PJM,92847.0,38441.0
2015-07-03 02:00:00+00:00,PJM,92013.0,37415.0
2015-07-03 03:00:00+00:00,PJM,86977.0,34611.0
2015-07-03 04:00:00+00:00,PJM,80446.0,31519.0
2015-07-03 05:00:00+00:00,PJM,75620.0,26881.0
2015-07-03 06:00:00+00:00,PJM,72699.0,25393.0
2015-07-03 07:00:00+00:00,PJM,70193.0,24430.0
2015-07-03 08:00:00+00:00,PJM,68542.0,24035.0
2015-07-03 09:00:00+00:00,PJM,68049.0,24249.0
2015-07-03 10:00:00+00:00,PJM,68821.0,25370.0
